"id","doi","display_name","author","publication_year","cited_by_count","altmetric_score","news_outlets","blogs","twitter","members_of_the_public","practitioners","research_scientists","science_communicators","Clinical_Psychology_and_Psychotherapy","Psychology","Medicine","Computer_science","Biology","Engineering","Geography","History","Materials_science","Physics","Environmental_science","Geology","Chemistry","Art","Sociology","Political_science","Philosophy","Economics","Business","Mathematics"
"https://openalex.org/W2998582571","10.1037/abn0000465","Levers and barriers to success in the use of translational neuroscience for the prevention and treatment of mental health and promotion of well-being across the lifespan.","Sarah R. Horn; Philip A. Fisher; Jennifer H. Pfeifer; Nicholas B. Allen; Elliot T. Berkman",2020,8,11.2,NA,NA,15,9,NA,6,NA,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://openalex.org/W2899024077","10.1016/j.janxdis.2018.10.006","When translational neuroscience fails in the clinic: Dexamethasone prior to virtual reality exposure therapy increases drop-out rates","Jessica L. Maples-Keller; Tanja Jovanovic; Boadie W. Dunlop; Sheila A.M. Rauch; Carly Yasinski; Vasiliki Michopoulos; Callan Coghlan; Seth D. Norrholm; Albert Rizzo; Kerry J. Ressler; Barbara O. Rothbaum",2019,20,6.3,NA,NA,9,7,1,1,NA,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"https://openalex.org/W2902023166","10.1037/ccp0000309","Towards personalized, brain-based behavioral intervention for transdiagnostic anxiety: Transient neural responses to negative images predict outcomes following a targeted computer-based intervention.","Rebecca B. Price; Logan Cummings; Danielle Gilchrist; Simona Graur; Layla Banihashemi; Susan S Kuo; Greg J. Siegle",2018,16,0.5,NA,NA,1,1,NA,NA,NA,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://openalex.org/W2140506445","10.1016/j.biopsycho.2006.01.006","Extending animal models of fear conditioning to humans","Mauricio R. Delgado; Andreas Olsson; Elizabeth A. Phelps",2006,307,18.148,NA,1,1,1,NA,NA,NA,68,187,9,7,7,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0
"https://openalex.org/W3007770675","10.1007/s00278-020-00402-4","Prozessbasierte Therapie der körperdysmorphen Störung","Viktoria Ritter; Ulrich Stangier",2020,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"https://openalex.org/W2790682781","10.1371/journal.pone.0192802","Changes of attachment characteristics during psychotherapy of patients with social anxiety disorder: Results from the SOPHO-Net trial","Bernhard Strauß; Uwe Altmann; Susanne Schwager; Anne Tholl; Susan Koranyi; Tobias Nolte; Manfred E. Beutel; Jörg Wiltink; Stephan Herpertz; Wolfgang Hiller; Jürgen Hoyer; Peter Joraschky; Björn Nolting; Viktoria Ritter; Ulrich Stangier; Ulrike Willutzki; Simone Salzer; Eric Leibing; Falk Leichsenring; Helmut Kirchmann",2018,10,3.7,NA,NA,6,5,NA,1,NA,9,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"https://openalex.org/W2902900989","10.1037/ccp0000340","Reducing intrusive memories of trauma using a visuospatial interference intervention with inpatients with posttraumatic stress disorder (PTSD).","Henrik Kessler; Emily A. Holmes; Simon E. Blackwell; Anna-Christine Schmidt; Johanna M. Schweer; Anna Bücker; Stephan Herpertz; Nikolai Axmacher; Aram Kehyayan",2018,48,127.644,14,3,21,8,6,7,NA,25,15,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"https://openalex.org/W1896666894","10.1016/j.jbtep.2015.07.007","Seeing in the Mind's eye: Imagery rescripting for patients with body dysmorphic disorder. A single case series","Viktoria Ritter; Ulrich Stangier",2016,28,1,NA,NA,NA,NA,NA,NA,NA,22,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"https://openalex.org/W2903278581","10.1037/ccp0000311","Evaluative conditioning as a body image intervention for adolescents with eating disorders.","Klaske A. Glashouwer; Renate Neimeijer; Marlies de Koning; Michiel Vestjens; Carolien Martijn",2018,10,0.75,NA,NA,1,1,NA,NA,NA,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"https://openalex.org/W2902259154","10.1037/ccp0000310","Interpretation training to target repetitive negative thinking in generalized anxiety disorder and depression.","Colette R. Hirsch; Charlotte Krahé; Jessica Whyte; Sofia Loizou; Livia Bridge; Sam Norton; Andrew Mathews",2018,46,22.68,1,1,13,6,3,4,NA,32,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
